,geoname,statepostal,fips,seriesid,purpose,year,quarter,value
93,Denton County,TX,48121,COUNT,Purchase,2022,1,4469
94,Denton County,TX,48121,COUNT,Refinance,2022,1,3643
95,Denton County,TX,48121,COUNT,Both,2022,1,8112
96,Denton County,TX,48121,COUNT,Purchase,2022,2,5214
97,Denton County,TX,48121,COUNT,Refinance,2022,2,1859
98,Denton County,TX,48121,COUNT,Both,2022,2,7073
99,Denton County,TX,48121,COUNT,Purchase,2022,3,4264
100,Denton County,TX,48121,COUNT,Refinance,2022,3,1161
101,Denton County,TX,48121,COUNT,Both,2022,3,5425
102,Denton County,TX,48121,COUNT,Purchase,2022,4,3242
103,Denton County,TX,48121,COUNT,Refinance,2022,4,504
104,Denton County,TX,48121,COUNT,Both,2022,4,3746
289,Denton County,TX,48121,MEDIAN,Purchase,2022,1,460000
290,Denton County,TX,48121,MEDIAN,Refinance,2022,1,455000
291,Denton County,TX,48121,MEDIAN,Both,2022,1,459000
292,Denton County,TX,48121,MEDIAN,Purchase,2022,2,505500
293,Denton County,TX,48121,MEDIAN,Refinance,2022,2,465000
294,Denton County,TX,48121,MEDIAN,Both,2022,2,500000
295,Denton County,TX,48121,MEDIAN,Purchase,2022,3,515000
296,Denton County,TX,48121,MEDIAN,Refinance,2022,3,490000
297,Denton County,TX,48121,MEDIAN,Both,2022,3,507000
298,Denton County,TX,48121,MEDIAN,Purchase,2022,4,530000
299,Denton County,TX,48121,MEDIAN,Refinance,2022,4,458000
300,Denton County,TX,48121,MEDIAN,Both,2022,4,523000
411,Denton County,TX,48121,P25,Purchase,2022,1,375000
412,Denton County,TX,48121,P25,Refinance,2022,1,360000
413,Denton County,TX,48121,P25,Both,2022,1,370000
414,Denton County,TX,48121,P25,Purchase,2022,2,408000
415,Denton County,TX,48121,P25,Refinance,2022,2,380000
416,Denton County,TX,48121,P25,Both,2022,2,400000
417,Denton County,TX,48121,P25,Purchase,2022,3,409500
418,Denton County,TX,48121,P25,Refinance,2022,3,400000
419,Denton County,TX,48121,P25,Both,2022,3,405000
420,Denton County,TX,48121,P25,Purchase,2022,4,405000
421,Denton County,TX,48121,P25,Refinance,2022,4,370000
422,Denton County,TX,48121,P25,Both,2022,4,400000
508,Denton County,TX,48121,P75,Refinance,2022,3,660000
509,Denton County,TX,48121,P75,Both,2022,3,673000
510,Denton County,TX,48121,P75,Purchase,2022,4,688000
511,Denton County,TX,48121,P75,Refinance,2022,4,665500
512,Denton County,TX,48121,P75,Both,2022,4,685000
582,Denton County,TX,48121,P75,Purchase,2022,1,627000
583,Denton County,TX,48121,P75,Refinance,2022,1,627000
584,Denton County,TX,48121,P75,Both,2022,1,627000
585,Denton County,TX,48121,P75,Purchase,2022,2,670000
586,Denton County,TX,48121,P75,Refinance,2022,2,651500
587,Denton County,TX,48121,P75,Both,2022,2,665000
588,Denton County,TX,48121,P75,Purchase,2022,3,675000
647,Denton County,TX,48121,MEAN,Refinance,2022,1,537800
648,Denton County,TX,48121,MEAN,Both,2022,1,539400
649,Denton County,TX,48121,MEAN,Purchase,2022,2,580000
650,Denton County,TX,48121,MEAN,Refinance,2022,2,574300
651,Denton County,TX,48121,MEAN,Both,2022,2,578500
652,Denton County,TX,48121,MEAN,Purchase,2022,3,596500
653,Denton County,TX,48121,MEAN,Refinance,2022,3,582200
654,Denton County,TX,48121,MEAN,Both,2022,3,593400
655,Denton County,TX,48121,MEAN,Purchase,2022,4,596500
656,Denton County,TX,48121,MEAN,Refinance,2022,4,590200
657,Denton County,TX,48121,MEAN,Both,2022,4,595700
750,Denton County,TX,48121,MEAN,Purchase,2022,1,540600
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,